76450556 | SWIFT & HAWK CYBERAGENTEN | Logan Macx | Carlsen | nein | / | Buch
76450535 | Amber Katastrophal genial | Emma Shevah | chicken house | nein | / | Buch
76450589 | Glücksbäckerei Die Magische Prüfung | Kathryn Littlewood | Fischer | nein | / | Buch
76450590 | Glücksbäckerei Die Magische Rezeptur | Kathryn Littlewood | Fischer | nein | / | Buch
76450591 | Hanni und Nanni und ihre Gäste | Euid bluton | Schneider Buch | nein | / | Buch
76450109 | Like me jeder Klick Zählt | Thomas Feibel | Carlsen | nein | / | Buch
76450592 | Sommer Flammen | Nora Roberts | Diana Verlag | nein | / | Buch
76450593 | Vielleicht morgen | Guillaume Musso | Piper | nein | / | Buch
76450594 | mit voller Gesicht über Gewalt wucht | Christine Knödler | Carlsen | nein | / | Buch
76450363 | Fette Ferien | Jochen Till | Ravensburger | nein | / | Buch
76450595 | un ge küst | Cathy east Dubowski | Heyne Bücher | nein | / | Buch
76450596 | ganz allein zu dritt | Mary Janice Davidson | LYX | nein | / | Buch
76450597 | so sexy | John Hall | Ravensburger | nein | / | Buch
76450598 | Vergiss Mein Nicht | Kerstin Gier | Fischer | nein | / | Buch
76450599 | Tokio Regen | Yasmin Shakarami | cbj | nein | / | Buch
76450600 | Heartstopper | Alice Oseman | Graphix Loewe | nein | / | Buch
76450601 | Lonely Castle in the Mirrow | Mizuki Tsujimura | Hayabusa | nein | / | Buch
76450311 | 28 Tage Lang | David Safier | rowohlt Rot fuchs | nein | / | Buch
76450602 | anatomy | Dana Schwartz | Loewe | nein | / | Buch
76450603 | immortality | Dana Schwartz | Loewe | nein | / | Buch
76450604 | Magig Academy Die Canidatin | Rachel E. Carter | cbt | nein | / | Buch
76450605 | Magig Academy Das Erste Jahr | Rachel E. Carter | cbt | nein | / | Buch
76450606 | Magig Academy Die Prüfung | Rachel E. Carter | cbt | nein | / | Buch
76450607 | Zwei Wochen im Mai | Christine Nöstlinger | Beltz & Geldberg | nein | / | Buch
76450608 | Wie man richtig küsst | Holly -Jane Rahlens | Coppenrath | nein | / | Buch
76450609 | Erebos | Ursula Ursula Poznanski | Klett | nein | / | Buch
76450102 | Herz Verspielt | Simone Elkeles | cbt | nein | / | Buch
76450540 | Das Zweite Gedächtnis | Ken Follett | RM Buch und Medien Vertrieb GmbH | nein | / | Buch
76450042 | der rechte weg | Brigitte Blobel | cbj | nein | / | Buch
76450256 | die stadt der verschwundenen kinder | Caragh O` Brien | Heyne Bücher | nein | / | Buch
76450187 | Andreas Jungwirth | Kein Einziges Wort | Ravensburger | nein | / | Buch
76450243 | Amy Perfekte Diebin | Colin Mulhern | bloomoon | nein | / | Buch
76450088 | Raum 213 | Amy Crossing | Loewe | nein | / | Buch
76450017 | Edgar und der sprechende Totenschädel | Marliese Arold | Thienmann | nein | / | Buch
76450043 | Es gibt dinge die kann man nicht erzählen | Kirsten Boie | Oetinger | nein | / | Buch
76450110 | Schatten Blicke | Karen-Susan Fessel | dtv | nein | / | Buch
76450543 | Stromschnelle | Andreas Schütler | dtv Junior | nein | / | Buch
76450542 | Doppeltreffer | Andreas Schütler | dtv Junior | nein | / | Buch
76450545 | Mit aller Gewalt | Marget Steenfatt | rotfuchs | nein | / | Buch
76450610 | Der Schrecken, der aus der Tiefe kam | R. L. stine | Omibus | nein | / | Buch
76450611 | Chanus Legat | C.J.Cherryh | Heyne Bücher | nein | / | Buch
76450612 | Einbruch bei Tage | Jay Williams | Ravensburger | nein | / | Buch
76450613 | Gift für den Killerwal | Thomas Brezina | Ravensburger | nein | / | Buch
76450614 | Und das nennt ihr mut | Inge Meyer-Dietrich | Ravensburger | nein | / | Buch
76450198 | Ich habe den Todesengel Überlebt | Eva Mozes Kor | cbj | nein | / | Buch
76450615 | Melina und die Delfine | Federica de Cesco | Arena | nein | / | Buch
76450616 | Melina und die Delfine | Federica de Cesco | Arena | nein | / | Buch
76450617 | Die puppe im Feuer | Michael Hatry | dtv Junior | nein | / | Buch
76450618 | Höhenflug abwärts | Jana Frey | Hase und Igel | nein | / | Buch
76450619 | Die Welle | Morton Rhue | Ravensburger | nein | / | Buch
76450620 | Wofür ich gelebt habe | Joyce Carol Oates | btb | nein | / | Buch
76450622 | Ohne ein Wort | Lindwood Barclay | Ullstein | nein | / | Buch
76450544 | Schattenkinder | Margret Peterson Haddix | dtv | nein | / | Buch
76450546 | 7 Minuten zu Spät | Kate Pepper | Rowohl | nein | / | Buch
76450547 | Leise Stirbst du nie | Daniel Annaechino | Ullstein | nein | / | Buch
76450045 | Der Junge im gestreiften Pyjama | John Boyne | Fischer | nein | / | Buch
76450621 | Rolltreppe abwärts | Hans-Georg Noack | Ravensburger | nein | / | Buch
76450623 | Das geisterhaus | William Sleator | Walter Verlag | nein | / | Buch
76450624 | Patty sucht den Mississippi | Thomas Jeier | Schneider Buch | nein | / | Buch
76450625 | Unheimlich | Ursula Isbel | Schneider Buch | nein | / | Buch
76450626 | Der Wheinachts Quilt | Jennifer Chiaverini | Weltbild | nein | / | Buch
76450627 | Der Fluch der Sterne | Elizabeth Redfern | BLT | nein | / | Buch
76450096 | Game it | Christina Hahn | Gulliver | nein | / | Buch
76450628 | Die wheinachsschuhe | Donna VanLiere | Bastei Lubbe | nein | / | Buch
76450629 | Drachen haben nichts zu lachen | Franz Sales Sklenitzka | Arena | nein | / | Buch
76450630 | Drei Männer im Schnee | Erich Kästner | Ullstein | nein | / | Buch
76450053 | Die nacht gehört den Drachen | Louisa Walsh | Carlsen | nein | / | Buch
76450631 | Die Abenteuer des Apollo | Rick Riordan | Carlsen | nein | / | Buch
76450632 | Elanus | Ursula Ursula Poznanski | Loewe | nein | / | Buch
76450523 | rausmitderdicken | Sophia Bennett | chicken house | nein | / | Buch
76450020 | Ich kann jederzeit aufhören | Ruth Omphalius | Arena | nein | / | Buch
76450633 | The Vampire Diaries | L.J. Smith | Harper Collins | nein | / | Buch
76450634 | Die gruseligsten Grusel geschichten | Roberth Arthur | Dias des Bavaria | nein | / | Buch
76450635 | Das Verlassene Buch am Strand | Scott O'Dell | Benziger | nein | / | Buch
76450636 | Thalamus | Ursula Poznanski | Loewe | nein | / | Buch
76450022 | Julischatten | Antje Babendererde | Arena | nein | / | Buch
76450637 | Hyde | Antje Wagner | Belt & Geldberg | nein | / | Buch
76450638 | Bravelands Das Gesetz der Savanne | Erin Hunter | Belt & Geldberg | nein | / | Buch
76450639 | Bravelands Der Aussenseiter | Erin Hunter | Belt & Geldberg | nein | / | Buch
76450640 | In 80 Tagen um die Welt | Jules Verne | Loewe | nein | / | Buch
76450641 | Oskar und das Geheimniss des Klosters | Glaudia Frieser | Dressler | nein | / | Buch
76450642 | Im Schatten des Falken | Cynthia Voigt | Sauerländer | nein | / | Buch
76450232 | Die Seiten der Welt | Kai Meyer | FJB | nein | / | Buch
76450041 | Magisterium der weg ins Labyrinth | Holly black | one | nein | / | Buch
76450376 | Unter Räubern | Andreas venzke | Boje | nein | / | Buch
76450643 | Dewey und ich | Vicki Myron | Random House | nein | / | Buch
76450098 | Das Schicksal Fährt Fahrrrad | Miriam Dubin | Planet Girl | nein | / | Buch
76450644 | Die Stadt der Fliegenden Schiffe | Michael Stuhr | Thienemanns | nein | / | Buch
76450312 | Ein Engländer zum Küssen | Martina Sahler | Thienemanns | nein | / | Buch
76450645 | Liebe,Kuss,O Tannenbaum | Irene Zimmerman | Thienemanns | nein | / | Buch
76450375 | Verküsst noch mal! | Hortense Ullrich | Thienemanns | nein | / | Buch
76450372 | Neuer Kuss neues Glück | Hortense Ullrich | Thienemanns | nein | / | Buch
76450316 | Italiener sind zum Küssen da | Martina Sahler | Thienemanns | nein | / | Buch
76450373 | Ohne Chasos keine Küsse | Hortense Ullrich | Thienemanns | nein | / | Buch
76450646 | Liebestest & Musenkuss | Bianka Minte-König | Thienemanns | nein | / | Buch
76450647 | Liebesquiz & Pferdekuss | Bianka Minte-König | Thienemanns | nein | / | Buch
76450649 | … und wer liebt mich | Hortense Ullrich | Thienemanns | nein | / | Buch
76450650 | Liebe, Gips & Gänseblümchen | Irene Zimmerman | Thienemanns | nein | / | Buch
76450313 | Franzosen küssen besser | Martina Sahler | Thienemanns | nein | / | Buch
76450651 | Never Kiss a Witch | Hortense Ullrich | Thienemanns | nein | / | Buch
76450652 | Küsswe, Flirt & Torschusspanik | Irene Zimmerman | Thienemanns | nein | / | Buch
76450654 | Küsswe, Flirt & Torschusspanik | Irene Zimmerman | Thienemanns | nein | / | Buch
76450653 | Küsse, Krisen, große Ferien | Zimmermann & Zimmerman | Thienemanns | nein | / | Buch
76450655 | Wer zuletzt küsst … | Hortense Ullrich | Thienemanns | nein | / | Buch
76450656 | Alisha steht kopf | Katherine Apple | Arena | nein | / | Buch
76450073 | Falling in Love | susane Colasanti | Arena | nein | / | Buch
76450209 | Liebe ist ein Nashorn | Isabelle Göntgen | Kosmos | nein | / | Buch
76450210 | Nashörner haben auch gefühle | Isabelle Göntgen | Kosmos | nein | / | Buch
76450658 | Die Sonate des Einhorns | Peter S. Beagle | Diana Verlag | nein | / | Buch
76450659 | Tina und Tini Das Rätsel der Martzipantorte | Euid Bluton | Schneider Buch | nein | / | Buch
76450660 | Hanni und Nanni sind große Klasse | Euid Bluton | Schneider Buch | nein | / | Buch
76450661 | Hanni und Nanni Die besten Freundinnen | Euid Bluton | Schneider Buch | nein | / | Buch
76450662 | Hanni und Nanni suchen Gespenster | Euid Bluton | Schneider Buch | nein | / | Buch
76450663 | Tina und Tini Das Geheimnis des Gärtners | Euid Bluton | Schneider Buch | nein | / | Buch
76450664 | Tina und Tini und die spuren im Schnee | Euid Bluton | Schneider Buch | nein | / | Buch
76450665 | Die Unzertrennliccchen Endlich eine Freundin | Brigitte Blobel | Schneider Buch | nein | / | Buch
76450666 | Hanni und Nanni rettten die Pferde | Euid Bluton | Schneider Buch | nein | / | Buch
76450667 | Hanni und Nanni in tausend Nöten | Euid Bluton | Schneider Buch | nein | / | Buch
76450668 | Hanni und Nanni bringen alle in Schwung | Euid Bluton | Schneider Buch | nein | / | Buch
76450669 | Hanni und Nanni Die besten Freundinnen | Euid Bluton | Schneider Buch | nein | / | Buch
76450670 | Hanni und Nanni kommen groß raus | Euid Bluton | Schneider Buch | nein | / | Buch
76450671 | Cyberschokolade | Martina Sahler | Thienemann | nein | / | Buch
76450366 | Chaos & flambierte Herzen | Hortense Ullrich | Thienemann | nein | / | Buch
76450365 | Chaos á la carte | Hortense Ullrich | Thienemann | nein | / | Buch
76450314 | Headline mit Herz | Martina Sahler | Thienemann | nein | / | Buch
76450657 | Tina und Tini und die spanischen Zwillinge | Euid Bluton | Schneider Buch | nein | / | Buch
76450672 | Gute Geister The Help | Kathryn Stockett | btb | nein | / | Buch
76450258 | pandemonium | Lauren Oliver | carlsen | nein | / | Buch
76450260 | requiem | Lauren Oliver | carlsen | nein | / | Buch
76450257 | delirium | Lauren Oliver | carlsen | nein | / | Buch
76450284 | Die Veratenen | Ursula Ursula Poznanski | Loewe | nein | / | Buch
76450285 | Die Verschworenen | Ursula Ursula Poznanski | Loewe | nein | / | Buch
76450284 | Die Vernichteten | Ursula Ursula Poznanski | Loewe | nein | / | Buch
76450533 | Elena Ein leben für Pferde Sommer der Entscheidung | Nele Neuhaus | planet girl | nein | / | Buch
76450530 | Elena Ein leben für Pferde | Nele Neuhaus | planet girl | nein | / | Buch
76450531 | Elena Ein leben für Pferde | Nele Neuhaus | planet girl | nein | / | Buch
76450068 | Die Auslese Nur die Besten überleben | Joelle Charbonneau | penhaligon | nein | / | Buch
76450525 | Die Auslese Nichts vergessen und nie vergeben | Joelle Charbonneau | penhaligon | nein | / | Buch
76450686 | Breathe Gefangen unter Glas | Sarah Crossan | dtv | nein | / | Buch
76450685 | Breathe Flucht nach Sequoia | Sarah Crossan | dtv | nein | / | Buch
76450116 | Brotherband Die Schlacht um das Wolfsschiff | John Flanagan | cbj Fantasy | nein | / | Buch
76450115 | Brotherband Der Kampf um die Smaragdmine | John Flanagan | cbj Fantasy | nein | / | Buch
76450114 | Brotherband Die Bruderschaft von Skandia | John Flanagan | cbj Fantasy | nein | / | Buch
76450305 | Helden des Lymp Der Verschwundene Halbgott | Rick Riordan | carlsen | nein | / | Buch
76450304 | Helden des Lymp Der Sohn des Neptune | Rick Riordan | carlsen | nein | / | Buch
76450301 | Helden des Lymp Das Haus des Lymp | Rick Riordan | carlsen | nein | / | Buch
76450306 | Helden des Lymp Das Zeichen der Athene | Rick Riordan | carlsen | nein | / | Buch
76450219 | Legend Fallender Himmel | Marie Lu | Loewe | nein | / | Buch
76450218 | Legend Berstende Sterne | Marie Lu | Loewe | nein | / | Buch
76450220 | Legend Schweilender Sturm | Marie Lu | Loewe | nein | / | Buch
76450673 | Alea Aquarius Der Ruf des Wassers | Tanya Stewner | Oetinger | nein | / | Buch
76450217 | Hüter der Erinnerung | Lois Lowry | dtv | nein | / | Buch
76450674 | Numbers Den tod im Blick | Rachel Ward | chicken house | nein | / | Buch
76450282 | Abgehauen | Grit Poppe | Dressler | nein | / | Buch
76450194 | Am Sonntag Stirbt Alison | katja Klimm | Arena | nein | / | Buch
76450675 | Eleria Die Verratenen | Ursula Poznanski | Loewe | nein | / | Buch
76450534 | Rock 4 life | Jamie Scallion | Loewe | nein | / | Buch
76450259 | Panic Wer angst hat, ist raus | Lauren Oliver | carlsen | nein | / | Buch
767450113 | Jeanne das kurze leben der Jungfrau von Orleans | Ursula Flacke | Boje | nein | / | Buch
76450676 | Im Koma | Joy Fiedling | Goldmannn | nein | / | Buch
76450527 | Operation 5 Minus | Charlotete Inden | CHV | nein | / | Buch
76450677 | Die Meisterin | Trudi Canavan | cbt | nein | / | Buch
76450678 | ILLuminati | Dan Brown | Bastei Lübbe | nein | / | Buch
76450034 | Verurteilt Ein autobiografischer Jugendroman | David Beck | Velag an der Ruhr | nein | / | Buch
76450679 | Girl in Pieces | Kathleen Glasgow | Fischer | nein | / | Buch
76450680 | Gänsehaut Doppelschocker 27 | R.L Stine | omnibus | nein | / | Buch
76450681 | Der Sommer fänger | Monika Feth | cbt | nein | / | Buch
76450682 | Menschenrechte Gesetze ohne Gewähr | Horst Statius | rowohlt Rot fuchs | nein | / | Buch
76450069 | Ich war ein Glückskind | Marion Charles | cbj | nein | / | Buch
76450683 | Der Märchen erzähler | Antonia Michaelis | Oetinger | nein | / | Buch
76450684 | Herr der Fliegen | William Golding | Fischer | nein | / | Buch
76450685 | Blut von meinem Blut | Declan Hughes | rowohlt Rot fuchs | nein | / | Buch
7640689 | Ewig sollst du Büßen | Alliason leotta | Piper | nein | / | Buch
76450686 | Der Flug des Falken | Victor Milan | Heyne Bücher | nein | / | Buch
76450687 | Schattengreifer der Zeitenherrscher | Stefan Gemmel | Baumhaus | nein | / | Buch
76450036 | Mystic High School die zeit der Werwölfe | Alfred Bekker | Buk | nein | / | Buch
76450688 | Die rätselhafte Feder | Birgit Ebbert | Lingen Kids | nein | / | Buch
76450690 | Schiff ahoi wer bastelt mit? | Lothar Dehner | KVH | nein | / | Buch
76450691 | Der Herr der Ringe Band 1 Die Gefährten | J.R.R. Tolkien | Klett-cotta | nein | / | Buch
76450692 | Der Herr der Ringe Band 2 Die Zwei Türme | J.R.R. Tolkien | Klett-cotta | nein | / | Buch
76450693 | Der Herr der Ringe Band 3Die Wiederkehr des Königs | J.R.R. Tolkien | Klett-cotta | nein | / | Buch
76450694 | Die Vergessenen Spiele Ausburg in der Römer Zeit | Margit Auer | emons | nein | / | Buch
76450695 | Die Welt der Finsternis | Alisha Bionda | Ueberreuter | nein | / | Buch
76450696 | Die Schnee Königin Kristalle aus Eis und Blut | C. E. Bernard | penhaligon | nein | / | Buch
76450697 | Die Sklaven der Traumfressers | Barbara Büchner | Ueberreuter | nein | / | Buch
76450698 | Magische Töchter | Justine Larbalestier | cbt | nein | / | Buch
76450699 | Die Patin | Kerstin Gier | Bastei Lübbe | nein | / | Buch
96450142 | Die Abenteuer des Apollo das Verborgene Orakel | Rick Riordan | Carlsen | nein | / | Buch
76450700 | Winter Sonnen Wende | Susan Cooper | C. Bertelsmann | nein | / | Buch
76450701 | Tochter der Tiefe | Rick Riordan | Carlsen | nein | / | Buch
76450132 | Sixteen Moons Eine Unsterbliche Liebe | Kami Garcia | cbj | nein | / | Buch
76450702 | Im Schatten des Fuchsmondes | Antje Babendererde | Arena | nein | / | Buch
76450703 | das Geheimnis der Delfininsel | ??? | loewe | nein | / | Buch
76450704 | Geheimnisvolle Mächte | Estele Laure | carlsen | nein | / | Buch
76450705 | Der Fremde | K.A. Applegate | Ravensburger | nein | / | Buch
76450706 | Aurora Entflammt | Amie Kaufmann | Sauerländer | nein | / | Buch
76450707 | Märchen im Schatten des Erzählers | Antonia Michaelis | Oetinger | nein | / | Buch
76450708 | Lore die Spiele Haben Begonen | Alexander Bracken | Arena | nein | / | Buch
76450529 | Magnetic Valley die Flucht der Fünf | Skye Melki-Wegner | dtv | nein | / | Buch
76450074 | Warp der Quantenzauberer | Eoin Colfer | Loewe | nein | / | Buch
76450709 | Odinskind | Siri Pettersen | Arctis | nein | / | Buch
76450710 | Drachen Feind Die Feuerreiter Seiner majestät | Naomi Novik | blanvalet | nein | / | Buch
76450711 | Growing up for Girls | Katie Love | Usborne | nein | / | Buch
76450712 | Julie von den Wölfen | Jean Craighead George | dtv junior | nein | / | Buch
76450238 | Im Herzen die Rache | Elizabeth Miles | loewe | nein | / | Buch
76450216 | Sag das du mir Gehörst! | Sahra Darer Littman | Baumhaus | nein | / | Buch
76450335 | Zerbrechliches Herz | Rebbeca Serle | Baumhaus | nein | / | Buch
76450713 | Eine Bank am Seerosenteich | Annika Thor | carlsen | nein | / | Buch
76450277 | Elfen Kuss | Aprilynne Pike | cbj | nein | / | Buch
76450714 | Gläsernes Glück | Nancy Thayer | WKV | nein | / | Buch
76450715 | Insurgent | Veronica Roth | KT | nein | / | Buch
76450716 | Der Kuss der Bienen | Thomas Sanchez | List | nein | / | Buch
76450026 | Ismael Bereit sein ist allse | Michael Gerard Bauer | Hanser | nein | / | Buch
76450717 | Linus,Leonie und die Wildpferde | Sahra Bosse | Bücherbär | nein | / | Buch
76450718 | Gallows Hill | Lois Duncan | Funtasie Club | nein | / | Buch
76450719 | Wie eine Hecke voll Himbeeren | Gunnel Linde | Junge Bibliothek | nein | / | Buch
76450002 | mind the Gap! Wie ich London Packte | Emmy Abrahamson | dtv | nein | / | Buch
76450720 | Madita | Astrid Lindgren | oetinger | nein | / | Buch
76450133 | Küss mich Ochsenfrosch! | Dagmar Geisler | Loewe | nein | / | Buch
76450390 | Herz schlag zeilen | Jutta Wilke | Coppenrath | nein | / | Buch
76450721 | Hanni & Nanni | Euid Bluton | Schneider Buch | nein | / | Buch
76450722 | Magic Girls Die große Prüfung | Marliese Arold | ars dition | nein | / | Buch
76450723 | Magic Der verhängnisvolle Fluch | Marliese Arold | ars dition | nein | / | Buch
76450724 | Evolution die Statdt der Überlebenden | Thomas Thiemeyer | Arena | nein | / | Buch
76450725 | Ein Fall für Nancy Drew Die Insel der Bestien | Carolyn Keene | Schneider Buch | nein | / | Buch
76450726 | Voneinem Tag auf den anderen | Robert Mawson | Goldmannn | nein | / | Buch
76450727 | Bevor ich sterbe | Jenny Downham | cbt | nein | / | Buch
76450056 | House of night Betrogen | P.C. Cast | Bastei Lübbe | nein | / | Buch
76450728 | Wie Spucke im Sand | Klaus Kordon | Gulliver | nein | / | Buch
76450729 | Die Frau am Meer | Ursula Isabel | Schneider Buch | nein | / | Buch
76450730 | Schön, schlank und reich | Beth Harbison | Fischer | nein | / | Buch
76450731 | Alycde und keine andere | Karen Cushman | dtv junior extra | nein | / | Buch
76450732 | Geil, das peinliche Foto stellen wir online! | Florian Buschendorff | vadr | nein | / | Buch
76450524 | Perfect Escape | Jennifer Brown | dtv pocket | nein | / | Buch
76450733 | verliebt, verlobt und ungeküsst | C. B. Lessmann | Loewe | nein | / | Buch
76450044 | My year with Girls | Stephan Borchers | Herzklopfen und so | nein | / | Buch
76450734 | Game of Hearts | Ceneva Lee | blanvalet | nein | / | Buch
76450735 | Lissy und die große Prüfung | Jenny Winter | Loewe | nein | / | Buch
76450121 | Love to go | Anya Fröhlich | Oetinger | nein | / | Buch
76450159 | Herz Bube | Birgit Hasselbusch | Oetinger | nein | / | Buch
76450736 | 101 Gründe, warum ich dich mag | Dorothée Bleker | GFV | nein | / | Buch
76450737 | Zurück nach Pine Hollow | Bonnie Bryant | Ravensburger | nein | / | Buch
76450062 | House of night Gezeichnet | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450057 | House of night Entfesselt | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450065 | House of night Verloren | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450063 | House of night Ungezähmt | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450061 | House of night Geweckt | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450066 | House of night Versucht | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450064 | House of night Verbrannt | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450058 | House of night Erlöst | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450067 | House of night Bestimmt | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450060 | House of night Gejagt | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450059 | House of night Erwählt | P.C. Cast und Kristin Cast | Fischer | nein | / | Buch
76450148 | Warrior Cats In die Wildnis | Erin Hunter | Beltz & Geldberg | nein | / | Buch
76450149 | Warrior Cats Feuer und Eis | Erin Hunter | Beltz & Geldberg | nein | / | Buch
76450147 | Warrior Cats Stunde der Finsternis | Erin Hunter | Beltz & Geldberg | nein | / | Buch
76450388 | Das Labyrinth Jagt dich | Rainer Wekwerth | Arena | nein | / | Buch
764500137 | Silber Das erste Buch der Träume | Kerstin Gier | Fischer | nein | / | Buch
764500138 | Silber Das zweite Buch der Träume | Kerstin Gier | Fischer | nein | / | Buch
76450278 | Vom Mondlicht berührt | Amy Plum | Loewe | nein | / | Buch
76450279 | Von den Sternen Geküsst | Amy Plum | Loewe | nein | / | Buch
76450280 | Von der Nacht Verzaubert | Amy Plum | Loewe | nein | / | Buch
76450131 | Seventeen Moons Eine Unheilvolle Liebe | Kami Garcia | cbj | nein | / | Buch
76450129 | Eighteen Moons Eine Grenzenlose Liebe | Kami Garcia | cbj | nein | / | Buch
76450130 | Nineteen Moons Eine Ewige Liebe | Kami Garcia | cbj | nein | / | Buch
76450103 | Wie ich Einmal fast berühmt wurde | Tobias Elsäßer | Sauerländer | nein | / | Buch
76450397 | Die Bücherdiebin | Markus Zusak | cbj | nein | / | Buch
76450738 | Roxy Ein kurzer Rausch, ein langer Schmerz | Neal & Jarrod Shusterman | Sauerländer | nein | / | Buch
76450739 | Count Down Der Letzte Widerstand | Thomas Thiemeyer | Arena | nein | / | Buch
76450015 | Die Unterirdische Sonne | Friedrich Ani | cbt | nein | / | Buch
76450081 | Die Flucht | Ally Condie | Fischer | nein | / | Buch
76450025 | Joshua Schreck Er will die Welt retten | Lee Bacon | Fischer | nein | / | Buch
76450024 | Joshua Schreck Die Allianz des unmöglichen | Lee Bacon | Fischer | nein | / | Buch
76450071 | Die 100 gefährlichsten Dinge der Welt  | Anna Claybourne | ars dition | nein | / | Buch
76450070 | Die 100 furchterregendsten Dinge der Welt  | Anna Claybourne | ars dition | nein | / | Buch
76450023 | Die gefährlichsten Orte der Welt | Petra bachmann | ars dition | nein | / | Buch
76450740 | we were liars Solange wir lügen | e. lockhart | Ravensburger | nein | / | Buch
76450050 | Bunker Diary | Kevin Brooks | dtv | nein | / | Buch
76450741 | Vorstadtkrokodile | Max von der grün | Cornelsen | nein | / | Buch
76450205 | Kinshasa Dreams | Anna Kuschnarowa | Gulliver | nein | / | Buch
76450180 | Atme Nicht | Jennifer R. Hubbard | Beltz & Geldberg | nein | / | Buch
76450742 | The Inheritance Games | Jennifer Lynn Barnes | cbt | nein | / | Buch
76450743 | Villa Wahnsinn Das Geheimnis im Nachbarhaus | Phyllis Reynolds Naylor | Loewe | nein | / | Buch
76450744 | Schritte im Dunkel | Boileau-Narcejac | Arena | nein | / | Buch
76450745 | Wer ist der Dritte Mann | Rolf Buron | Schneider Buch | nein | / | Buch
76450746 | Geheimagent Lennet untert Verdacht | Leutnant X | Schneider Buch | nein | / | Buch
76450748 | Geheimagent Lennet und das tödliche Signal | Leutnant X | Schneider Buch | nein | / | Buch
76450747 | Das Haus der treppen | William Sleator | dtv pocket | nein | / | Buch
76450749 | Inspektor Jury kommt auf den Hund | Martha Grimes | Goldmannn | nein | / | Buch
76450750 | Ein Guter Blick fürs Böse | Ann Granger | Bastei Lübbe | nein | / | Buch
76450751 | Das weiße Amulett | Kathinka Wantula | Knaur | nein | / | Buch
76450752 | Fair Play Spiel mit sonst verlierst du alles! | Kerstin Gulden | Rotfuchs | nein | / | Buch
76450753 | Der Geisterhügel | John Crawford | Vampir | nein | / | Buch
76450754 | Flucht durch den Dschungle | A. R. Channel | Goldmannn | nein | / | Buch
76450755 | Detektive Kim und der vermißte Polizist | Jens K. Holm | Heyne Bücher | nein | / | Buch
76450756 | Regenmacher | Sherman Alexie | Goldmannn | nein | / | Buch
76450364 | Fiese Ferien | Jochen Till | Ravensburger | nein | / | Buch
76450757 | Eine Flaschenpost voller Träume | Penelope J. Stokes | GerthMedien | nein | / | Buch
